time,tcc_mean,tcc_median,tcc_max,tcc_p75
2015-08-07-10,0.16746608912944794,0.1618618667125702,0.46329161524772644,0.2098660171031952
2015-08-07-11,0.14933215081691742,0.12559625506401062,0.36933252215385437,0.19582483172416687
2015-08-07-12,0.1439770758152008,0.14825376868247986,0.2829659879207611,0.21714720129966736
2015-08-07-13,0.10077828913927078,0.07745862007141113,0.27339673042297363,0.15838360786437988
2015-08-07-14,0.11473926156759262,0.04188447818160057,0.2930670380592346,0.21663576364517212
2015-08-07-15,0.10989192128181458,0.11924047768115997,0.2084776908159256,0.16355200111865997
2015-08-07-16,0.09101401269435883,0.0528106689453125,0.20663833618164062,0.17362213134765625
2015-08-07-17,0.08871921896934509,0.058276232331991196,0.23940187692642212,0.14150530099868774
2015-08-07-18,0.1958562135696411,0.12523004412651062,0.731553316116333,0.15821954607963562
2015-08-07-19,0.4166211783885956,0.4210716784000397,0.8677879571914673,0.6167503595352173
2015-08-07-20,0.64522385597229,0.7633760571479797,0.9385316967964172,0.8753908276557922
