segment,mean,median,max
2015-01-22-1,0.00,0.00,0.00
2015-01-22-2,11.93,10.08,36.85
2015-01-22-3,12.55,13.36,25.19
2015-01-22-4,17.98,18.34,42.32
2015-01-22-5,16.06,16.56,40.28
2015-01-22-6,9.69,10.09,20.16
2015-01-22-7,10.38,10.65,22.52
2015-01-22-8,16.75,16.90,36.55
2015-01-22-9,29.13,29.59,108.70
2015-01-22-10,106.40,98.79,249.07
2015-01-22-11,79.87,80.06,161.45
2015-01-22-12,86.47,90.71,157.81
2015-01-22-13,71.88,68.58,190.82
2015-01-22-14,48.37,48.07,114.65
2015-01-22-15,14.52,13.02,44.86
2015-01-22-16,6.71,7.12,15.24
2015-01-22-17,17.92,14.58,51.94
2015-01-22-18,0.00,0.00,0.00
2015-01-22-19,0.00,0.00,0.00
2015-01-22-20,0.00,0.00,0.00
2015-01-22-21,0.00,0.00,0.00
2015-01-22-22,0.00,0.00,0.00
2015-01-22-23,0.00,0.00,0.00
2015-01-23-0,0.00,0.00,0.00
2015-01-23-1,0.00,0.00,0.00
2015-01-23-2,10.29,8.78,32.72
2015-01-23-3,4.92,4.77,14.66
2015-01-23-4,4.86,4.77,10.71
2015-01-23-5,8.34,8.03,20.54
2015-01-23-6,10.60,10.66,24.70
2015-01-23-7,4.50,4.46,12.17
2015-01-23-8,5.28,5.06,17.48
2015-01-23-9,20.97,17.49,59.27
2015-01-23-10,43.31,38.58,193.38
2015-01-23-11,67.67,67.19,232.77
2015-01-23-12,71.31,67.30,206.43
2015-01-23-13,23.93,23.93,64.49
2015-01-23-14,12.52,11.56,44.81
2015-01-23-15,6.76,5.95,26.23
2015-01-23-16,7.00,6.26,33.35
2015-01-23-17,35.97,36.31,86.56
2015-01-23-18,0.00,0.00,0.00
2015-01-23-19,0.00,0.00,0.00
2015-01-23-20,0.00,0.00,0.00
2015-01-23-21,0.00,0.00,0.00
2015-01-23-22,0.00,0.00,0.00
2015-01-23-23,0.00,0.00,0.00
2015-01-24-0,0.00,0.00,0.00
2015-01-24-1,0.00,0.00,0.00
2015-01-24-2,11.87,12.60,31.48
2015-01-24-3,5.82,5.67,16.42
2015-01-24-4,4.07,4.47,30.32
2015-01-24-5,2.52,2.39,9.27
2015-01-24-6,1.55,1.49,4.47
2015-01-24-7,2.48,2.68,6.23
2015-01-24-8,4.56,4.47,12.46
2015-01-24-9,20.89,12.75,98.79
2015-01-24-10,51.32,48.72,178.41
2015-01-24-11,51.10,47.87,133.98
